FALSE,pair_id,topic,tagabawa,cebuano,filipino,english,,notes
TRUE,P001,visiting,Ágpanumbalé,Pagbisita,Pagdalaw,Visiting,,
FALSE,P002,visiting,Madigár,Maayo,Kamusta,Hello,,
FALSE,P003,visiting,Áskiyu kannê!,Kamo diay!,Kayo pala!,"Oh, it's you!",,plural
FALSE,P004,visiting,Allus kó,Dayun mo,Tulay po kayo,Come ahead,,plural
FALSE,P005,visiting,Pénék kó,Saka mo,Umakyat kayo,Come up,,plural
FALSE,P006,visiting,Ahu kó,Sulod mo,Pasok po kayo,Come in,,plural
FALSE,P007,visiting,Unsad kó,Lingkod mo,Maupo kayo,Sit down,,plural
FALSE,P008,visiting,Unsad kó,Lingkod mo,Maupo kayo,Have a seat,,plural
FALSE,P009,visiting,Ándinné gulitán yu?,Unsa inyong tuyo?,Anong kailangan ninyo?,Why have you come?,,plural
FALSE,P010,visiting,Ándinné kalyag nu?,Unsa imong gusto?,Anong gusto mo?,Is there something you want?,,
FALSE,P011,visiting,Ándin ég kadigárran nu?,Unsa imong nagustohan?,Anong gusto mo talaga?,What is it you would like?,,need to double check
FALSE,P012,visiting,Ándin ég kailanganán nu?,Unsay imong kinahanglan?,Mayroon ka bang kailangan?,Is there something you need?,,
FALSE,P013,visiting,Ándà kalyag ku dád,Wala man,Wala naman,Nothing in particular,,
FALSE,P014,visiting,Duwán pád gulitán kuk nikó,Naa unta koy hangyu sa imoha,Mayroon akong ipakikiusap sa iyo,I have a favor to ask of you,,need to double check
FALSE,P015,visiting,Ándin man?,Unsa man?,Ano ba yon?,What is it?,,
FALSE,P016,visiting,Mému mállássa katô pala nu?,Mahimu ba mohulam ko sa imong pala?,Puede bang mahiram ang pala mo?,May I borrow your shovel?,,
FALSE,P017,visiting,Ulián ku dád kanik mapun,Iuli lang nako unyang hapon,Isasauli ko rin mamayang hapon,I'll return it this afternoon,,
FALSE,P018,visiting,Mállássa pád áknikó ka salapì kaliman pisus?,Mohulam unta ko nimo ug kwarta bali singkwenta pisos?,Puede ba akong manghiram ng limangpung piso sa iyo?,May I please borrow fifty pesos from you?,,
FALSE,P019,visiting,"Óó, pabállássán kus kuna ka kaliman pisus","Oo, pahulamon ta ka ug singkwenta pisos","Oo, pahihiramin kita ng limangpung piso","Yes, I'll lend you fifty pesos",,
FALSE,P020,visiting,"Salamat, bullasan kù nit dumunggù linggu","Salamat, ilisan lang nako sa sunod simana","Salamat, babayaran ko sa susunod na linggo","Thank you, I'll return it next week",,
FALSE,P021,visiting,Muna ad ákniyu,Mouna ko sa inyoha,Mauuna na ako sa inyo,I'll go on ahead of you,,plural
FALSE,P022,visiting,Mulì ad,Mouli nako,Uuwi na ako,I'll be going home now,,
FALSE,P023,visiting,Panó kid,Adto na ta,Tayo na,Let's go now,,
FALSE,P024,visiting,Lónód ka,Balik lang,Balik ka lang uli,Come again,,
FALSE,P025,visiting,"Óó, lumónóddô","Oo, mobalik lang ko","Oo, babalik ako","Yes, I'll certainly come back",,
FALSE,P026,,Tut dalan,Sa dalan,Sa daan,On the path,,
FALSE,P027,on_the_path,Ándayé igtikudan nu?,Asa ka gikan?,Saan ka galing?,Where have you come from?,,
FALSE,P028,on_the_path,Ándayé sadunan nu?,Asa ka moadto?,Saan ka pupunta?,Where are you going?,,auto-split from slash values
FALSE,P029,on_the_path,Mánda ka?,Asa ka moadto?,Saan ka pupunta?,Where are you going?,,auto-split from slash values
FALSE,P030,on_the_path,Taddô dád,Diha lang,Diyan lang,Just over there,,
FALSE,P031,on_the_path,Madunna tuk niyu,Moadto ako sa inyoha,Pupunta ako sa inyo,I'm going to your place,,plural
FALSE,P032,on_the_path,Madunna tut munisipyu,Moadto ko sa munisipyu,Pupunta ako sa munisipyu,I'm going to the post office,,need to double check
FALSE,P033,on_the_path,Mamalingkiyad.,Mamalingki ko,Mamamalengke ako,I'm going to the market,,auto-split from slash values
FALSE,P034,on_the_path,Mamálliya,Mamalingki ko,Mamamalengke ako,I'm going to the market,,auto-split from slash values
FALSE,P035,on_the_path,Madunna dád tug babà,Moadto lang ko sa ubus,Pupunta lang ako sa baba,I'm just going down there,,
FALSE,P036,on_the_path,Madunna dád tun daya,Moadto lang ko sa ibabaw,Pupunta lang ako sa taas,I'm just going up there,,
FALSE,P037,,Tut baryu,Sa baryo,Sa nayon,At the village,,
FALSE,P038,at_the_village,Madigár góddóan ni lugar yu,Ang inyong lugar maayong puy-an,Magandang tirahan ang inyong lugar,Your place is a nice place to live,,plural
FALSE,P039,at_the_village,Ágkadigárranna dini su masunay,Gusto ko diri kay malinawon nga lugar,Gusto ko rito dahil tahimik na lugar,I like it here because it's peaceful,,
FALSE,P040,at_the_village,Ánda tô ámmà nu asta innà nu?,Asa ang imong amahan ug inahan?,Nasaan ang mga magulang mo?,Where are your parents?,,
FALSE,P041,at_the_village,"Tô ámmà ku tun datas, na tô innà ku tut wayig","Ang akong amahan didto sa taas, ug ang akong inahan didto sa sapa",Ang tatay ay nasa itaas at ang nanay ko po naman ay nasa ilog,"My father is upstairs, and my mother is at the river",,
FALSE,P042,at_the_village,Taddô ta balé,Naa diha sa balay,Nandiyan po sa bahay,There at the house,,
FALSE,P043,at_the_village,Ándayé góddóan katô amayánnán nu?,Asa nagpuyo ang imong uyuan?,Saan nakatira ang iyong tiyuhin?,Where does your uncle live?,,
FALSE,P044,at_the_village,Tô amayánnán kuwé góddô katô balé tut bókkóg katô simbaan,Ang akong uyuan ang nagpuyo sa balay sa likud sa simbahan,Ang aking tiyuhin ang nakatira sa bahay na nasa likod ng simbahan,My uncle lives in the house behind the church,,
FALSE,P045,at_the_village,Ádding ka pa,Hapit sa,Daan ka muna,Stop in,,singular
FALSE,P046,at_the_village,Ádding kó pa,Hapit sa mo,Daan muna kayo,Stop in,,plural
FALSE,P047,at_the_village,"Dì dán, lumabéyad","Di na, molabay lang ku","Wag na, dadaan lang kami","Not now, I'll pass on by",,auto-split from slash values
FALSE,P048,at_the_village,"Dì dán, lumabé kéd","Di na, molabay lang mi","Wag na, dadaan lang kami","Not now, we'll pass on by",,auto-split from slash values
FALSE,P049,at_the_village,Diyad mádding sug lukutta,Di na ko mohapit kay gadali ko,Hindi na nagmamadali ako,I will not stop in because I'm in a hurry,,
FALSE,P050,at_the_village,Pénék kó,Saka lang mo,Umakyat kayo,Come up,,you pl; auto-split from slash values
FALSE,P051,at_the_village,Pénék kó dun,Saka lang mo diha,Umakyat kayo d'yan,Go on up there,,you pl; auto-split from slash values
FALSE,P052,at_the_village,Pónóg kó.,Kanaug mo,Bumaba kayo,Go on down ,,you pl; auto-split from slash values
FALSE,P053,at_the_village,Pónóg kó dun,Kanaug mo diha,Bumaba kayo d'yan, Get down from there,,you pl; auto-split from slash values
FALSE,P054,,Ágpatóngkóé tun dalám ka balé,Nagistoryahanay sa sulod sa balay,Pagkukuwentohan sa loob ng bahay,Conversation at home,,
FALSE,P055,conversation_at_home,Ándà sóddór ku,Wala ko kahibalo,Hindi ko alam,I don't know,,
FALSE,P056,conversation_at_home,Tógón din,Pasagdi lang,Hindi bale,Never mind,,
FALSE,P057,conversation_at_home,Áskuna,Ikaw,Ikaw,It's up to you,,auto-split from slash values
FALSE,P058,conversation_at_home,Tamak nikó,Ambot sa imo,Aywan ko sa iyo,I don't know about you,,auto-split from slash values
FALSE,P059,conversation_at_home,Sakán dán,Ako na lang,Ako na lang,I'll do it,,
FALSE,P060,conversation_at_home,Panówad,Molakaw na ko,Aalis na ako,I'll go now,,
FALSE,P061,conversation_at_home,Sadun ka dini,Dali diri,Halika rito,Come here,,
FALSE,P062,conversation_at_home,Sadun ka pa dini,Dali sa diri,Halika muna rito,Come here first,,
FALSE,P063,conversation_at_home,Piddiya ka kuk,Dalhi ko ug coke,Dalhan mo ako ng coke,Bring me a Coke,,
FALSE,P064,conversation_at_home,Pókê nu yan sállat,Ablihi ang pultahan,Buksan mo ang pinto,Open the door,,
FALSE,P065,conversation_at_home,Sagpáng nu tô téwang,Siraduhi ang bintana,Isara mo ang bintana,Close the window,,
FALSE,P066,conversation_at_home,Angat ka pa dógó,Hulat sa kadali,Sandali lang,Wait a minute,,auto-split from slash values
FALSE,P067,conversation_at_home,Dógó dád,Dali lang,Sandali lang,Just a minute,,auto-split from slash values
FALSE,P068,conversation_at_home,Tákkás ka kanak,Uban sa akoa,Sumama ka sa akin,Come with me,,
FALSE,P069,conversation_at_home,Sadanné duma nu?,Kinsa ang imong kauban?,Sinong kasama mo?,Who is with you?,,
FALSE,P070,conversation_at_home,Ikasóddór ka katô mayur dut lugar dun?,Kaila ka ba sa mayor dihang dapita?,Kilala mo ba ang alkalde sa lugar na iyon?,Do you know the mayor of that place?,,
FALSE,P071,conversation_at_home,Igkilala a ka báttuk din,Kaila ko sa iyaha sa nawong,Kilala ko siya sa mukha,I know him by sight,,
FALSE,P072,conversation_at_home,Sadanné ngadan din?,Kinsa ang iyang ngalan?,Anong pangalan niya?,What is his name?,,
FALSE,P073,conversation_at_home,Ándà ku kasampátti,Wala ko kahinumdom,Hindi ko matandaan,I don't remember,,
FALSE,P074,conversation_at_home,Milingówa,Nakalimut ko,Hindi ko maalaala,I forgot,,
FALSE,P075,conversation_at_home,Ilingawan kud,Nalimtan na nako,Nakalimutan ko na,I have forgotten it,,
FALSE,P076,conversation_at_home,Ágkamánnu ka?,Naunsa ka?,Napaano ka?,What's the matter with you?,,
FALSE,P077,conversation_at_home,Imánnu ka?,Unsay nahitabo sa imoha?,Anong nangyari sa iyo?,What happened to you?,,singular
FALSE,P078,conversation_at_home,Nannu tô batà nu?,Kumusta ang imong anak?,Kumusta ang iyong anak?,How is your child?,,
FALSE,P079,conversation_at_home,Madigár dán,Maayo na,Magaling na s'ya,He is well now,,
FALSE,P080,conversation_at_home,Ándin ég lumun nu?,Unsay imong gibuhat?,Anong ginagawa mo?,What are you doing?,,singular
FALSE,P081,conversation_at_home,Mému tákkássanna ikuna?,Mahimu ba nga ubanan ko nimo?,Makasasama ka ba sa akin?,Can you go with me?,,
FALSE,P082,conversation_at_home,Áglukutta,Nagdali ko,Nagmamadali ako,I'm in a hurry,,
FALSE,P083,conversation_at_home,Kadigárrannad kuman,Gusto ko mokaon na,Gusto ko nang kumain,I'd like to eat now,,
FALSE,P084,conversation_at_home,Tumuduggad,Motulog na ko,Matutulog na ako,I'm going to sleep now,,
FALSE,P085,conversation_at_home,Tô makagi ka duwán mantu ágpakitaé,Ang masulti sa tawong bag-ong gikahibalag,Ang masabi sa bagong nagkita,What to say to people you meet,,
FALSE,P086,conversation_at_home,Taga ánda ka man kannê?,Taga asa g'yud ka diay?,Taga saan ka ba talaga?,Where are you from originally?,,
FALSE,P087,conversation_at_home,Sadanné ngadan nu?,Kinsa imong ngalan?,Anong pangalan mo?,What's your name?,,
FALSE,P088,conversation_at_home,Ándinné tawar kuk nikó?,Unsay akong itawag nimo?,Anong itatawag ko sa iyo?,What should I call you?,,
FALSE,P089,conversation_at_home,Sakán si ,Ako si ,Ako'y si ,I'm ,,
FALSE,P090,conversation_at_home,Ándayé góddóan nu áknganni?,Asa ka nagpuyo karon?,Saan ka nakatira ngayon?,Where are you staying now?,,
FALSE,P091,conversation_at_home,Ándayé igtikudan nu ni?,Asa ka gikan karon?,Saan ka galing ngayon?,Where did you just come from?,,
FALSE,P092,conversation_at_home,Makatabang ka kanak?,Makatabang ka ba sa akoa?,Matutulungan mo ba ako?,Can you help me?,,
FALSE,P093,conversation_at_home,Ándinné matabang kuk nikó?,Unsa ang akong matabang sa imoha?,Anong maitutulong ko sayo?,What can I do for you?,,
FALSE,P094,conversation_at_home,Gahà a dád,Nagbisita lang ko,Dumadalaw lang ako,I just came to visit,,
FALSE,P095,conversation_at_home,Ni ka pa góg dunggù?,Karon ka lang miabot?,Kararating mo lang ba?,Have you just arrived?,,
FALSE,P096,conversation_at_home,Géna a pô,Kaganina ra,Kani kanina lang,Just awhile ago,,
FALSE,P097,conversation_at_home,"Óó, baniya pa igdunggù tikud tut Bukidnon",Oo gahapon lang ko miabot gikan sa Bukidnon,"Oo, kararating ko lang kahapon mula sa Bukidnon","Yes, I came just yesterday from Bukidnon",,
FALSE,P098,family,Tô pamilya,Ang pamilya,Ang mag-anak,The family,,
FALSE,P099,family,Manté pô tô ámmà nu?,Buhi pa ba ang imong amahan?,Buhay pa ba ang tatay mo?,Is your father still living?,,
FALSE,P100,family,"Óó, asal tô innà ku inaté dán tô iglabé ámmé","Oo, pero ang akong inahan namatay na tong miaging tuig","Oo, pero namatay ang nanay ko noong nakaraang taon","Yes, but my mother died last year",,
FALSE,P101,family,Pira kó langun mataladi?,Pila mo tanang magsoon?,Ilan kayong magkakapatid?,How many brothers and sisters do you have?,,
FALSE,P102,family,Walu ké mataladi,Walo ming magsoon,Walo kaming magkakapatid,There are eight of us,,
FALSE,P103,family,Áskunayé tambang kaké?,Ikaw ba ang kinamagulangan?,Ikaw ba ang panganay?,Are you the eldest?,,
FALSE,P104,family,"Ánnà, sakánné tambang adi","Dili, ako ang kamanghuran","Hindi, ako po ang bunso","No, I'm the youngest",,
FALSE,P105,family,Pira dánné idad nu?,Pila na ang imong idad?,Ilang taon ka na?,How old are you?,,
FALSE,P106,family,Sapulù dán é idad ku,Napulo na ang idad ko,Sampung taon na ako,I'm already ten years old,,
FALSE,P107,family,Duwán dán sawa nu?,Naa ka nay asawa?,May asawa ka na ba?,Do you have a wife?,,
FALSE,P108,family,Ándà pa,Wala pa,Wala pa,Not yet,,
FALSE,P109,family,Duwán dán duma nu?,Naa ka nay bana?,May asawa ka na ba?,Do you have a husband?,,
FALSE,P110,family,Duwán dán,Naa na,Mayroon na,I have,,auto-split from slash values
FALSE,P111,family,Duwán dán,Naa na,Mayroon na,I do,,auto-split from slash values
FALSE,P112,family,Duwán dán gabatà nu?,Naa ka nay mga anak?,May mga anak ka na ba?,Do you have children?,,
FALSE,P113,family,"Óó, lima dánné gabatà ku","Oo, naa na koy lima ka anak","Oo, mayroon na akong limang anak","Yes, I have five children",,
FALSE,P114,family,Duwayé gabayi asta tálluwé gamama,Duha ka babaye ug tulo ka lalaki,Dalawang babae at tatlong lalaki,Two girls and three boys,,
FALSE,P115,relationships,Kadumaan asta duwán kadaddanan ,Relasyon,Relasyon,Relationships,,
FALSE,P116,relationships,ámmà,amahan,ama,father,,
FALSE,P117,relationships,innà,inahan,ina,mother,,
FALSE,P118,relationships,batà,anak,anak,son,,auto-split from slash values
FALSE,P119,relationships,batà,anak,anak,daughter,,auto-split from slash values
FALSE,P120,relationships,duma,bana,asawa,husband,,auto-split from slash values
FALSE,P121,relationships,sawa,asawa,asawa,wife,,auto-split from slash values
FALSE,P122,relationships,balu,balo,biyudo,widower,,auto-split from slash values
FALSE,P123,relationships,balu,balo,biyuda,widow,,auto-split from slash values
FALSE,P124,relationships,banà,trato,nobyo,fiancé,,auto-split from slash values
FALSE,P125,relationships,tratu,trato,nobya,fiancée,,auto-split from slash values
FALSE,P126,relationships,mataladi,magsoon,kapatid,brother-brother,,auto-split from slash values
FALSE,P127,relationships,mataladi,magsoon,kapatid,sister-sister,,auto-split from slash values
FALSE,P128,relationships,tábbé,magsoon,magkapatid,brother-sister,,auto-split from slash values
FALSE,P129,relationships,talatábbé,magsoon,magkapatid,brother-sister,,auto-split from slash values
FALSE,P130,relationships,adi,manghod,kapatid na mas bata sa akin,younger sibling,,
FALSE,P131,relationships,kaké,magulang,kapatid na mas matanda sa akin,elder sibling,,
FALSE,P132,relationships,tambang adi,kamanghuran,bunso,youngest child,,auto-split from slash values
FALSE,P133,relationships,tampus adi,kamanghuran,bunso,youngest child,,auto-split from slash values
FALSE,P134,relationships,tambang kaké,kamagulangan,panganay,eldest child,,
FALSE,P135,relationships,apù,apohan,nuno,grandparent,,
FALSE,P136,relationships,apù,apo,apo,grandchild,,
FALSE,P137,relationships,bataánnán,pag-umangkon,pamangkin,nephew,,auto-split from slash values
FALSE,P138,relationships,bataánnán,pag-umangkon,pamangkin,niece,,auto-split from slash values
FALSE,P139,relationships,ágpémaluyé,ig-agaw,pinsan,first cousin,,auto-split from slash values
FALSE,P140,relationships,imaluy kataladi,ig-agaw,pinsan,first cousin,,auto-split from slash values
FALSE,P141,relationships,ugang,ugangan,biyanan,parent-in-law,,
FALSE,P142,relationships,bayó,bayaw,bayaw,brother-in-law,,between men
FALSE,P143,relationships,ayù,bayaw,hipag,sister-in-law,,between women
FALSE,P144,relationships,bilas,bilas,bilas,spouse relation of married brothers,,auto-split from slash values
FALSE,P145,relationships,bilas,bilas,bilas,sisters,,auto-split from slash values
FALSE,P146,relationships,ipag,hipag,hipag,sister-in-law,,between men / women
FALSE,P147,relationships,ikóddô,umagad,manugang,son-in-law,,auto-split from slash values
FALSE,P148,relationships,ikóddô,binalaye,manugang,daughter-in-law,,auto-split from slash values
FALSE,P149,relationships,kataladi ,paryente,kamag-anak,relative,,singular
FALSE,P150,relationships,kadaddanan,paryente,kamag-anak,relatives,,plural
FALSE,P151,relationships,mógóskami ,paryente,kamag-anak,relative,,singular
FALSE,P152,relationships,kaditaan,paryente,kamag-anak,relatives,,plural
FALSE,P153,relationships,karawuyan,paryente,kamag-anak,relative,,singular
FALSE,P154,relationships,kadumaan,katagilungsod,kababayan,townmate,,
FALSE,P155,relationships,rarak,higala,kaibigan,friend,,
FALSE,P156,relationships,usig,kaaway,kaaway,enemy,,auto-split from slash values
FALSE,P157,relationships,usig,kontra,kalaban,enemy,,auto-split from slash values
FALSE,P158,relationships,manubù,tawo,tao,person,,
FALSE,P159,relationships,mama,lalaki,lalaki,male,,auto-split from slash values
FALSE,P160,relationships,mama,lalaki,mama,male,,auto-split from slash values
FALSE,P161,relationships,bayi,babaye,babae,female,,
FALSE,P162,relationships,batà,bata,bata,child,,
FALSE,P163,relationships,burayì,masuso,sanggol,infant,,auto-split from slash values
FALSE,P164,relationships,délák batà,masuso,sanggol,infant,,auto-split from slash values
FALSE,P165,relationships,mallaki,ulitawo,binata,bachelor,,auto-split from slash values
FALSE,P166,relationships,mallaki,ulitawo,binata,unmarried man,,auto-split from slash values
FALSE,P167,relationships,daraga,dalaga,dalaga,young woman,,unmarried; auto-split from slash values
FALSE,P168,relationships,dalaga,dalaga,dalaga,young woman,,unmarried; auto-split from slash values
FALSE,P169,relationships,tugál mama,tigulang lalaki,matandang lalaki,old man,,
FALSE,P170,relationships,tugál bayi,tigulang babaye,matandang babae,old woman,,
FALSE,P171,relationships,simbalé,silingan,kapitbahay,neighbor,,
FALSE,P172,,Ágkémun,Kinaiya,Ugali,Behavior,,
FALSE,P173,,Ágkémun,Batasan,Ugali,Character,,
FALSE,P174,behavior_character,ágburángburáng,gabagulbul,reklamador,grumbling,,manual check: slash values
FALSE,P175,behavior_character,ágburángburáng,gabagulbul,reklamador,complaining,,
FALSE,P176,behavior_character,ágburángburáng,gabagulbul,reklamador,murmuring,,
FALSE,P177,behavior_character,ágduwaduwa,nagduhaduha,nagdadalawang isip,uncertain,,manual check: slash values
FALSE,P178,behavior_character,ágduwaduwa,nagduhaduha,nagdadalawang isip,ambivalent,,
FALSE,P179,behavior_character,ágduwaduwa,nagduhaduha,nagdadalawang isip,hesitant,,
FALSE,P180,behavior_character,ágginawa,mahigugmaon,malambing,affectionate,,manual check: slash values
FALSE,P181,behavior_character,ágginawa,mahigugmaon,mapaagmahal,affectionate,,
FALSE,P182,behavior_character,ágginawa,mahigugmaon,magiliw,affectionate,,
FALSE,P183,behavior_character,ágkangulág,nagpabuang-buang,baliw ,crazy,,manual check: slash values
FALSE,P184,behavior_character,ágngulágngulág,nagpabuang-buang,nagkukunwaring sira ulo,pretending to be a fool,,
FALSE,P185,behavior_character,ágkasannaan,kapiyalan,mapagkatiwalaan,honest,,auto-split from slash values
FALSE,P186,behavior_character,ágkasarigan,kasaligan,mapagkatiwalaan,trustworthy,,auto-split from slash values
FALSE,P187,behavior_character,ágkasókó,masuko,galit,angry,,auto-split from slash values
FALSE,P188,behavior_character,ágkasókó,masuko,galit,angered,,auto-split from slash values
FALSE,P189,behavior_character,dì sékót ágkasókó,dili dali masuko,hindi madaling nagagalit,not easily angered,,
FALSE,P190,behavior_character,ágkéduwan,maluoy,maawain,merciful,,auto-split from slash values
FALSE,P191,behavior_character,méduwédu,maluluy-on,maawain,compassionate,,auto-split from slash values
FALSE,P192,behavior_character,áglimáddang,manghadluk,natatakut,frightening,,person
FALSE,P193,behavior_character,áglumu,nagbuhat,masipag,hard working,,auto-split from slash values
FALSE,P194,behavior_character,áglumu,motrabaho,masipag,hard working,,auto-split from slash values
FALSE,P195,behavior_character,ágnunug,misugot,masunurin,agreeable,,auto-split from slash values
FALSE,P196,behavior_character,ágnunug,misugot,masunurin,compliable,,auto-split from slash values
FALSE,P197,behavior_character,ássa,lahi,kaiba,different,,auto-split from slash values
FALSE,P198,behavior_character,ássa,lahi,kaiba,distinct,,auto-split from slash values
FALSE,P199,behavior_character,ágtammud,gakusmod,nakasimangot,frowning,,
FALSE,P200,behavior_character,ágtanud,abubhoan,siluso,jealous,,
FALSE,P201,behavior_character,balingisin,palakatawa,palaging nakangiti,smiling,,auto-split from slash values
FALSE,P202,behavior_character,balingisin,palakatawa,masayahin,cheerful countenance,,auto-split from slash values
FALSE,P203,behavior_character,barétbétan,sabaan,madaldal,talkative,,auto-split from slash values
FALSE,P204,behavior_character,barétbétan,tabian,madaldal,gossipy,,auto-split from slash values
FALSE,P205,behavior_character,bulalón,bakakon,sinungaling,liar,,
FALSE,P206,behavior_character,dì ágbaránnás,hilomon,tahimik,quiet person,,
FALSE,P207,behavior_character,lággáddán,dalo,madamot,miserly,,auto-split from slash values
FALSE,P208,behavior_character,lággáddán,tihik,madamot,stingy,,auto-split from slash values
FALSE,P209,behavior_character,mabákkár,kusgan,malakas,strong,,
FALSE,P210,behavior_character,mabbabà é ginawa,mabaw ug pailub,pikon,short tempered,,auto-split from slash values
FALSE,P211,behavior_character,mabbabà é ginawa,mabaw ug pailub,pikon,easily provoked to anger,,auto-split from slash values
FALSE,P212,behavior_character,madat,lain,masama,bad,,
FALSE,P213,behavior_character,madigár,maayo,mabuti,good,,
FALSE,P214,behavior_character,magani,isog,matapang,bold ,,manual check: slash values
FALSE,P215,behavior_character,magani,isog,matapang, brave,,
FALSE,P216,behavior_character,magani,isog,matapang,agressive,,
FALSE,P217,behavior_character,mallayat é ginawa,mapailubon,mapagpasensiya,patient,,auto-split from slash values
FALSE,P218,behavior_character,mallayat é ginawa,mapailubon,mapagpasensiya,longsuffering,,auto-split from slash values
FALSE,P219,behavior_character,malóggód,makugihan,masipag,industrious,,auto-split from slash values
FALSE,P220,behavior_character,malóggód,makugihan,masipag,diligent,,auto-split from slash values
FALSE,P221,behavior_character,malómétán,luyahon,mabagal,sluggish,,
FALSE,P222,behavior_character,mangayó,manunulong,manglulusob,raider,,auto-split from slash values
FALSE,P223,behavior_character,mangayó,manunulong,mamatay tao,killer,,auto-split from slash values
FALSE,P224,behavior_character,mapabbabà,mapaubsanon,mapagpakumbaba,humble,,
FALSE,P225,behavior_character,matalláng,matarung,mabait,careful,,manual check: slash values
FALSE,P226,behavior_character,matalláng,matarung,mabait,upright,,
FALSE,P227,behavior_character,matalláng,matarung,mabait,honest,,
FALSE,P228,behavior_character,mataló,talawan,duwag,cowardly,,auto-split from slash values
